id,screen/route,file:line,kind,core_path,hebrew_source
he-0001,component:AdminShell,src/components/AdminShell.tsx:19,string,no,סקירת בעלים
he-0002,component:AdminShell,src/components/AdminShell.tsx:20,string,no,🤖 סוכן AI
he-0003,component:AdminShell,src/components/AdminShell.tsx:21,string,no,תלמידים ומועמדים
he-0004,component:AdminShell,src/components/AdminShell.tsx:22,string,no,מרצים והרשאות
he-0005,component:AdminShell,src/components/AdminShell.tsx:23,string,no,🏫 ארגון
he-0006,component:AdminShell,src/components/AdminShell.tsx:24,string,no,ניתוח נוכחות
he-0007,component:AdminShell,src/components/AdminShell.tsx:25,string,no,השלמות שיעורים
he-0008,component:AdminShell,src/components/AdminShell.tsx:26,string,no,לוז שיעורים ומבחנים
he-0009,component:AdminShell,src/components/AdminShell.tsx:27,string,no,תזכורות SMS / WhatsApp
he-0010,component:AdminShell,src/components/AdminShell.tsx:28,string,no,📱 בקשות כניסה בטלפון
he-0011,component:AdminShell,src/components/AdminShell.tsx:29,string,no,תיבת פניות ומשובים
he-0012,component:AdminShell,src/components/AdminShell.tsx:30,string,no,📚 תוכן לימודי
he-0013,component:AdminShell,src/components/AdminShell.tsx:31,string,no,🎓 קורסים מקוונים
he-0014,component:AdminShell,src/components/AdminShell.tsx:32,string,no,התקדמות תלמידים
he-0015,component:AdminShell,src/components/AdminShell.tsx:33,string,no,BEQA — אבחון ביומטרי
he-0016,component:AdminShell,src/components/AdminShell.tsx:34,string,no,🧠 דוחות אבחון
he-0017,component:AdminShell,src/components/AdminShell.tsx:35,string,no,"💰 ויצ""ר"
he-0018,component:AdminShell,src/components/AdminShell.tsx:36,string,no,מסך מרצה
he-0019,component:AdminShell,src/components/AdminShell.tsx:37,string,no,סימון נוכחות
he-0020,component:AdminShell,src/components/AdminShell.tsx:41,string,no,בעלים
he-0021,component:AdminShell,src/components/AdminShell.tsx:42,string,no,צוות
he-0022,component:AdminShell,src/components/AdminShell.tsx:43,string,no,מרצה
he-0023,component:AdminShell,src/components/AdminShell.tsx:44,string,no,תלמיד
he-0024,component:AdminShell,src/components/AdminShell.tsx:45,string,no,ליד
he-0025,component:AdminShell,src/components/AdminShell.tsx:95,jsx_text,no,מחובר בתור
he-0026,component:AdminShell,src/components/AdminShell.tsx:179,string,no,טוען נתונים חיים…
he-0027,component:AppShell,src/components/AppShell.tsx:16,string,yes,קורסים
he-0028,component:AppShell,src/components/AppShell.tsx:24,string,yes,קורסים
he-0029,component:LeadLockScreen,src/components/LeadLockScreen.tsx:12,jsx_text,yes,ברוך הבא ל־Haile Drive AI
he-0030,component:LeadLockScreen,src/components/LeadLockScreen.tsx:14,jsx_text,yes,ההרשמה שלך נקלטה בהצלחה.
he-0031,component:LeadLockScreen,src/components/LeadLockScreen.tsx:16,jsx_text,yes,כדי להתחיל ללמוד — יש להסדיר את תשלום שכר הלימוד.
he-0032,component:LeadLockScreen,src/components/LeadLockScreen.tsx:18,jsx_text,yes,"לאחר אישור התשלום, תיפתח הגישה לשיעורים, מבחנים, קהילה וסוכן ה־AI שלך."
he-0033,component:LeadLockScreen,src/components/LeadLockScreen.tsx:31,jsx_text,yes,לפניה למשרד:
he-0034,component:LeadLockScreen,src/components/LeadLockScreen.tsx:41,jsx_text,yes,פרופיל ויציאה
he-0035,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:6,string,no,תל אביב
he-0036,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:6,string,no,ירושלים
he-0037,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:6,string,no,חיפה
he-0038,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:6,string,no,באר שבע
he-0039,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:6,string,no,אשדוד
he-0040,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:6,string,no,אשקלון
he-0041,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:6,string,no,נתניה
he-0042,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:7,string,no,רחובות
